country,founded,id,industry,linkedin_url,locality,name,region,size,website
,,z1Wy1grFi2QBQEiYRXWCfA17n5TT,computer software,linkedin.com/company/lobster-claw-software,,lobster claw software,,1-10,lobsterclawsoftware.com
brazil,2011,SUZERhdeDySmvCJZTTvRUgDruYuP,legal services,linkedin.com/company/lterreri-advogados,,l terreri advogados,são paulo,11-50,lterreri.adv.br
brazil,2018,CqUrcBN1qWNvzAb2OqBEzwUA5eDe,legal services,linkedin.com/company/teixeira-gomes-advocacia,hortolândia,teixeira gomes advocacia,são paulo,1-10,teixeira-gomes-advogados.negocio.site
brazil,2012,wwB0CEYEtIHt0WmERdi7qg18oIai,legal services,linkedin.com/company/von-randow-advogados,manhuaçu,von randow advogados,minas gerais,1-10,vonrandow.adv.br
united states,2022,vqInCoBaGWwG5OLhcxhi4w3gQBMc,law practice,linkedin.com/company/gillett-mediation,seattle,gillett mediation,washington,1-10,gillettmediation.com
united states,1975,QiBWHlw1WqkRBlmbGfGUTAu8m2ID,law practice,linkedin.com/company/rainey-kizer-reviere-&-bell-plc,jackson,"rainey, kizer, reviere & bell, plc",tennessee,51-200,raineykizer.com
brazil,,jLuxb0wIZBYKjxZaGldm8whEQNu3,utilities,linkedin.com/company/pan-servicos-de-legalizacao-de-documentos,são paulo,pan servicos de legalizacao de documentos,são paulo,1-10,panadm.com.br
united states,2021,sNnbU2OCrhwLbkQtJyadsAXyc3ay,legal services,linkedin.com/company/csm-mobile-notary-apostille-services,west covina,csm mobile notary & apostille services,california,1-10,
germany,,1AXbf9rtR7CScDnB708H4wBSaRw9,legal services,linkedin.com/company/mas-&-p-miess-altherr-sibinger-u.-partner,mannheim,"mas & p miess, altherr, sibinger u. partner",baden-württemberg,1-10,rae-masp.de
united states,,S5MJsFV6yKVBZbra8Ok02A0nEpjL,legal services,linkedin.com/company/martin-s-rudoy,porter ranch,martin s rudoy,california,1-10,rudoyfleck.com
united kingdom,,xUUDFRQhv2on26z2dzqa1w2CK33g,legal services,linkedin.com/company/gordon-brown-law,gateshead,gordon brown law,england,11-50,gordonbrownlaw.co.uk
united kingdom,,SvwWLh3fBASpYsfLbItzAwitxZ3O,law practice,linkedin.com/company/agi-criminal-solicitors,manchester,agi criminal solicitors,england,1-10,agicriminalsolicitors.co.uk
united states,1970,9IOEhNJEw0EH1MBG7CGplwe8xwos,law practice,linkedin.com/company/wells-small-fleharty-&-weil,redding,wells small fleharty & weil,california,11-50,wsfwlaw.com
india,2015,D11DYQagrhBxiuR4hCtM7wzCe1yB,legal services,linkedin.com/company/bizexpress-business-services,mulund west,bizexpress advisors,maharashtra,11-50,bizexpress.in
united states,1957,aTEBBMuBe0mP70FsVemkQAvill9I,law practice,linkedin.com/company/mmatllaw,atlanta,"mclain & merritt, p.c.",georgia,11-50,mmatllaw.com
united states,1971,p8YXI68mpRlJd38Qbu1l7wzg3btI,law practice,linkedin.com/company/elliott-lawson-&-minor,bristol,"elliott lawson & minor, p.c.",virginia,11-50,elliottlawson.com
united kingdom,,MuKG5IOJf0ZWKAE8FXrAeACyEwuC,individual & family services,linkedin.com/company/sarah-tinsley-counselling,chorley,sarah tinsley counselling,england,1-10,sarahtinsleycounselling.co.uk
united states,,wDbI6FptGmf9IW2OfxqVmAr2a0CL,legal services,linkedin.com/company/paul-kemp,mount gilead,paul kemp,ohio,1-10,
dominican republic,,fmhUnS9FwYM10UYChDN3cgx1qrnl,legal services,linkedin.com/company/santana-castro-asociados-srl,naco,santana castro & asociados srl,,1-10,santanacastroasociados.com
united states,2024,9fKJ1dXWduTHnaJQunOcSQpI46fX,law practice,linkedin.com/company/bondarlegal,new city,bondar legal p.c.,new york,1-10,
spain,,wW4tnHBYcjCYEeuYR8c7Aw0t0wb6,law practice,linkedin.com/company/varona-legal-numbers,valencia,varona legal & numbers,valencian community,11-50,varona.es
brazil,,Wj2xzHtHaJxjbkYxHtFUsQVcuONu,law practice,linkedin.com/company/caper-advogados,nossa senhora da penha,caper advogados,rio de janeiro,1-10,casantosadvogados.com.br
united states,,GIkWvCztJlfvcAwbOHpjzQBBr2kn,law practice,linkedin.com/company/gthpc,philadelphia,gian-grasso & tomczak immigration law group,pennsylvania,11-50,gthpc.com
brazil,,3pEPzVQCCcCA8Lhzs8DMVQiZFApk,legal services,linkedin.com/company/vas-advogados,pouso alegre,vas advogados,minas gerais,1-10,vasadvogados.com
united states,1990,vghFXIeC5nbc51q5vsX7mA4nDnAf,law practice,linkedin.com/company/darrow-dietrich-law,sheboygan,darrow & dietrich law,wisconsin,11-50,
united states,2010,VoJGE6pYA4PCPuaBbnefpAUkeqfk,law practice,linkedin.com/company/boates-law-firm-pllc,phoenix,"boates law firm, pllc",arizona,1-10,anthemlaw.com
australia,,BDFzgFJ4t1zqgbMyhhX9kwiuht3O,law practice,linkedin.com/company/parish-patience-legal-migration-services,sydney,parish patience legal & migration services,new south wales,1-10,parishlaw.com.au
turkey,2016,3zwgImvNfBdu33tYt2TpBgJL1VjP,law practice,linkedin.com/company/çalişkan-aydin-hukuk-bürosu,istanbul,çalişkan&aydin hukuk bürosu,istanbul,1-10,caliskanaydin.com
south africa,2013,RSYpKykCvoDRwqv0nZn5XgLQJ3BI,law practice,linkedin.com/company/verburg-attorneys,stellenbosch,verburg - law firm,western cape,11-50,verburgattorneys.com
united states,,vUjn3SpAweSJtMg99QaFQwElgzDP,,linkedin.com/company/law-offices-of-calixtro-villarreal,rio grande city,law offices of calixtro villarreal,texas,1-10,calixtrovillarreallaw.com
iceland,,sRGBEA6pLnWuSeAT7LmK8w5YkAak,law practice,linkedin.com/company/aguiar-e-deak-advogados-associados,egilsstöðum,aguiar e deak advogados associados,,1-10,freitaseaguiar.com.br
australia,,nZjUNxWJsddVBYAj8CnKzQ6oTTXh,law practice,linkedin.com/company/sambrook-grant-lawyers,mermaid beach,sambrook grant lawyers,queensland,1-10,sambrookgrantlawyers.com.au
,,SBYbOyT0YmqwRL6KckS7EwpZPQH2,legal services,linkedin.com/company/law-office-of-dylan-mcfarland,,law office of dylan mcfarland,,1-10,dmcfarlandlaw.com
finland,2021,bB2lECVZA9xlt0a4GKrTTg7bJnU1,legal services,linkedin.com/company/osservatorio-italia-antiriciclaggio-per-l-arte,helsinki,osservatorio italia antiriciclaggio per l'arte,uusimaa,11-50,antiriciclaggioarteitalia.it
united states,,5CpBWiKnBnArzBAOK6wVpAXOdH3z,legal services,linkedin.com/company/gacommunitylegal,roswell,"georgia community legal, inc.",georgia,1-10,gacommunitylegal.org
united states,,DthBO0dU72c97k1OYchafAHNp8Xg,,linkedin.com/company/stephen-f.-lopez-esq.-apc,san diego,stephen f. lopez esq. apc,california,1-10,sflopesq.com
canada,,tX8sAW3PQMdhsB3B9CYtzwdE05QU,,linkedin.com/company/henderson-counselling,oakville,henderson counselling,ontario,1-10,hendersoncounselling.com
united states,,ScLSLSk9OT6Q0Dgf4prs2QoUrP8f,,linkedin.com/company/law-offices-of-j-michael-chaput,larkspur,law offices of j michael chaput,california,1-10,chaputlaw.com
united states,,oqotztllk4izJMyNTueFKwMAV1m9,law practice,linkedin.com/company/carton-law-firm,manasquan,carton law firm,new jersey,1-10,cartonlawfirm.com
,,sqZ17REvOkpJqi8dOKBFmAj30UUi,law practice,linkedin.com/company/knippenberg-steuerberater-rechtsanwalt,,knippenberg steuerberater rechtsanwalt,,11-50,kanzleiknippenberg.de
turkey,,7TAIYmihplrhyHRXJGdDaws5x1Z2,law practice,linkedin.com/company/ture-hukuk-burosu,çankaya,türe hukuk bürosu,ankara,1-10,turehukuk.com
singapore,,188ekncWJLaRAOtV5pEmIA5wQAxe,,linkedin.com/company/peter-ong-law-corporation,singapore,peter ong law corporation,,1-10,peteronglaw.com
united states,,x3HWdmqtPZSKpHTpHNyCywRThWWx,,linkedin.com/company/clawson-troy-elks,troy,clawson troy elks,michigan,1-10,clawsontroyelks.org
united states,,DZHc3BrgzX4zBjRIY7gBBwjr5Oqb,,linkedin.com/company/law-office-of-robert-j.-thompson-p.c.,dixon,"law office of robert j. thompson, p.c.",illinois,1-10,robertjthompson.net
united states,2010,0SDtcZCEEJCHqt7QlNKDBAVgzmn0,mental health care,linkedin.com/company/thy-kingdom-christian-counseling,lindale,manifest christian counseling,texas,1-10,etmcc.org
france,,oDwa0I43cXLLPVp4kC8BQAvg2BxI,law practice,linkedin.com/company/faith-avocats-associés,paris,faith avocats associés,île-de-france,1-10,
united states,,dR5MVunBLmIA6HkcKhcxcw7vUn0E,,linkedin.com/company/sylvan-learning-of-fair-lawn,fair lawn,sylvan learning of fair lawn,new jersey,11-50,
,,RCyu8vXhiEyMDcaUde85iwpkOIqj,law practice,linkedin.com/company/abogada--mediadora,,abogada- mediadora,,1-10,atlanticpressbooks.com
united states,,UBSz1qgCadSG6biC4dWj0gYZb1vb,,linkedin.com/company/law-office-of-chiara-king-pc,gladwin,"law office of chiara king, pc",michigan,1-10,crkinglaw.com
united states,,X6NWnER8ry4BIrkKTqp4MwnIwPjO,legal services,linkedin.com/company/allison-&-rickards-attorneys-at-law-llc,bedford,"allison & rickards, attorneys at law, llc",pennsylvania,1-10,bedfordinjurylaw.com
peru,,ryUKXAeIR7CB1cHBD1ZX8QMmMweI,legal services,linkedin.com/company/estudio-montero-abogados,santiago de surco,montero abogados,lima,1-10,montero-abogados.com
france,,Tx8zTKbdAW4MMCBuNNECJAqY0nfs,legal services,linkedin.com/company/honor-david,cernay,honor david,grand est,1-10,
united states,2017,LJlRKJmrBMgJ2FJ9hdaiWg6Fvkyo,legal services,linkedin.com/company/lawyerexchange,chicago,lawyer exchange,illinois,1-10,lawyerexchange.com
united states,1988,0yUVJHCYkPh31dCUXZmTmww0oBFu,legal services,linkedin.com/company/kollmanandsaucier,lutherville timonium,"kollman & saucier, p.a.",maryland,11-50,
united states,,EvqWFE3pOKHLIkuk0nhnUgb57nKF,legal services,linkedin.com/company/danner-reporting,santa fe,danner reporting,new mexico,1-10,courtreportingsantafe.com
united states,,nF4WOOq7YugTFY7EZoynhgUA3m6y,legal services,linkedin.com/company/edwin-a.-bischoff-p.c,henrico,"edwin a. bischoff, p.c",virginia,1-10,
united states,,7pKOCHQ0s7o3oaqJdd153AZhjpOD,legal services,linkedin.com/company/find-em-inc,lawson,find em inc,missouri,1-10,
spain,2013,DgvarnVahBQMsxHHJblCRQIXykAU,law practice,linkedin.com/company/iuriservice,san sebastián de los reyes,iuriservice,community of madrid,1-10,iuriservice.es
united states,2005,NaPNHBXa2oZiox28ybbumwfgkzpH,law practice,linkedin.com/company/hansum-law-firm-pllc,austin,"hansum law firm, pllc",texas,1-10,hansumlaw.com
united states,,xj8wvk1XAMNeCBtbfJv7pATPqujM,legal services,linkedin.com/company/barbara-j.-howard-co.-l.p.a.,cincinnati,"barbara j. howard co., l.p.a.",ohio,1-10,barbarajhoward.com
united states,,eYetBJbC1Hu9AE0Nvo8PCQcFot9i,,linkedin.com/company/law2000-inc.,tucson,"law2000, inc.",arizona,1-10,
united states,,La4gRxaB49ygdFzo1BmH9wK4HRbf,,linkedin.com/company/bish-law,newhall,bish law,california,1-10,mindybishlaw.com
united states,1952,ZzgXa6o0gOtE0g36OXoopAojwUW1,law practice,linkedin.com/company/grundhoefer-&-ludescher-p-a-,northfield,"grundhoefer & ludescher, p.a.",minnesota,1-10,northfieldlaw.com
canada,,72sirLQGjEJBGNRWuB4dyATTkXMY,legal services,linkedin.com/company/taylor-harold-kim,burlington,taylor harold kim,ontario,1-10,hktlaw.ca
brazil,,ligYXgOQqBxNKCjBQx7UVQTl5XDx,legal services,linkedin.com/company/parussolo-&-rufino-advogados-associados,adamantina,parussolo & rufino advogados associados,são paulo,1-10,parussolo-rufino-advogados.negocio.site
brazil,,vRjXWKEuLklXDB2Mge0DjwRdIdeZ,legal services,linkedin.com/company/solere-data-protection-compliance,,solere | data protection compliance,rio de janeiro,1-10,compliancelgpd.com.br
united kingdom,,CtB84q4CQNtX5RLZZiQ56AaXVeSR,information services,linkedin.com/company/legalzoom.com-uk-limited,city of london,legalzoom.com (uk) limited,england,1-10,
united states,,pxCVpUgn3jIIbfDhWnGIFwwsZE4y,hospital & health care,linkedin.com/company/ivy-counseling-center-llc,colonial heights,ivy counseling center llc,virginia,1-10,ivycounselingcenter.com
united states,,glNGTIo8p1BIFVGCcEPOFA4BGBMP,law practice,linkedin.com/company/ibarra-ocampo-pllc,,ibarra ocampo pllc,,1-10,ibarraocampo.com
spain,,ErFeiTCNpnZecxLRAmWJUQFhPd6j,legal services,linkedin.com/company/sanpe,madrid,sanpe,community of madrid,1-10,sanpe.es
,,yZBFqHl8jELoDbdX5mvvIQZxlKES,legal services,linkedin.com/company/gtm-legal,,gtm legal,,1-10,
,2009,F5BZg3dax3wnkkWIU2zRIwVbPkyC,law practice,linkedin.com/company/gbenga-adeyemi-co,,gbenga adeyemi & co,,1-10,gbengaadeyemiandco.com
united states,,ulo9ZMjGcU6pl7CBcKB68wNjndca,legal services,linkedin.com/company/bercik-law,shrewsbury,bercik law,new jersey,1-10,berciklaw.com
united states,,GdN6SB9Ji87Td51QWLcGvAyG3hXB,legal services,linkedin.com/company/gulati-law,altamonte springs,gulati law,florida,1-10,
chile,2005,99J720F9QGZLmuBvNnMDeQB2eWgo,legal services,linkedin.com/company/asiscom,valparaíso,asiscom chile ltda.,valparaíso,1-10,asiscomchile.cl
australia,2006,VA6lW4xJTqipMy3Z4CyYZQbsKWp3,legal services,linkedin.com/company/pym's-technology-lawyers,sydney,pym's technology lawyers,new south wales,1-10,pyms.com.au
,,DVD9LtsgCbN5tqvl0JNY8QIOiWvE,legal services,linkedin.com/company/sar-han-attorneys-at-law,,sarıhan attorneys at law,,1-10,sarihan.av.tr
united states,1988,EMJMFa9nMZ0pVcg1uPEvEQbQjyCT,legal services,linkedin.com/company/webb-county,,webb county,,11-50,webbcountytx.gov
belgium,1992,CrBc50f9OK1Z5uJeahkiiAr8h3xd,law practice,linkedin.com/company/frans-baert-&-vennoten,gent,frans baert & vennoten,flanders,11-50,fransbaert.be
australia,,hMxdA7MroHR2JvkhMOqBlwm7zg0E,law practice,linkedin.com/company/ari-jenshel,,ari jenshel,,1-10,arijenshel.com
,,fPctEH5sH2TCECGs4tYk6QPMNRaT,legal services,linkedin.com/company/verilex-legal,,verilex legal s.l.,,1-10,verilexlegal.com
brazil,2003,MnwlQ4RKxoFCOaKNAEJoSwU7sNQg,legal services,linkedin.com/company/advocaciachagas,americana,advocacia chagas,são paulo,1-10,
united states,2019,Fh4xWIjlmLsI3bmmNCiDCgzNIkwq,law practice,linkedin.com/company/carey-center-for-justice,chicago,carey center for justice,illinois,1-10,careycenter.org
,,P3WSCvSECClBJSa8iVkzgwxbic6u,legal services,linkedin.com/company/helega-professionisti-associati,,helega - professionisti associati,,1-10,studiohelega.it
south africa,,1tCsWYQASBceZaOXixjPBQbgASU2,,linkedin.com/company/mcp-legal-services,centurion,mcp legal services,,1-10,
united kingdom,2008,wRwL7XdHjvoaXYf8X4C5YQBCC0Tr,law practice,linkedin.com/company/richardson-&-co-solicitors-llp,leeds,richardson & co solicitors llp,england,11-50,richardsonlaw.co.uk
,,g1JxL2WyO6G5wyBlne90ew5Qavuv,legal services,linkedin.com/company/private-resolutions-inc,,"private resolutions, inc.",,1-10,privateresolutions.com
argentina,1998,Kpgq7S4JxsH8ZKqoKGPpVw21IG0h,legal services,linkedin.com/company/castrillo&castrillo,,🇦🇷 castrillo & castrillo,buenos aires,1-10,castrillo.com.ar
united states,,5sCApPBAOLfCz0BbmcoD5QtitiH3,,linkedin.com/company/new-territory-counseling,bozeman,new territory counseling,montana,1-10,newterritorycounseling.com
netherlands,2017,nxrRu1MCdsK6yanNl2SZOQQG3Xbj,legal services,linkedin.com/company/nina-tillema-zorgeloosch-scheiden-twente-salland,enschede,nina tillema | zorgeloosch scheiden twente & salland,overijssel,1-10,
brazil,,DZgy2UWVsUjtI2VZGFpMXwHGaKqF,legal services,linkedin.com/company/dmo-capacitacao,porto alegre,dmo capacitação,rio grande do sul,1-10,
france,,arsXc6B2srR8sowHQki8dwH3wkkv,legal services,linkedin.com/company/scm-des-docteurs-dlp,beauzelle,scm des docteurs dlp,occitanie,1-10,
italy,2020,1vnLeKjNzleuARFbYWuObgf2t9cN,law practice,linkedin.com/company/bglex,roma,bglex,lazio,1-10,bg-lex.com
spain,,o4RCSw6qBX8loTXVSfoX7QzJMOBK,legal services,linkedin.com/company/asesoria-retamas-novas,alcorcón,asesoria retamas novas,community of madrid,1-10,asesoriaretamas.com
switzerland,2022,BTC7ABWkUmVvdkYapxwk0AdPrZJG,legal services,linkedin.com/company/kays-international,cureglia,kays international,ticino,1-10,
ireland,,S1zSoi1muJndySGcooCrrQ9r5jBk,medical practice,linkedin.com/company/springwood-medical-counselling-psychotherapy,,springwood medical counselling/psychotherapy,leinster,1-10,springwoodmedicalcounselling.com
united states,2012,Aa9neTKfmcc9XEitj1zMegUTE29k,information technology and services,linkedin.com/company/law-office-of-steven-kahlenberg-inc,,law office of steven kahlenberg inc,georgia,1-10,
brazil,,sWVlkAj0elnarz3h1Qy3TQFlJZmS,legal services,linkedin.com/company/marcos-zuquim-sociedade-de-advogados,bom retiro,marcos zuquim sociedade de advogados,são paulo,1-10,zuquimadv.com
united states,,VBAx0k6ZiQltZdgrWh7uDghBhPyN,medical practice,linkedin.com/company/bodnar-counseling-inc.,south bend,"bodnar counseling, inc.",indiana,1-10,
united states,,pyp87b2NYCWDpQqQD3VqqAQuXJUl,medical practice,linkedin.com/company/grovers-psychological-and-counseling-professional-corporation,,grovers psychological and counseling professional corporation,new york,1-10,
united states,2013,ZCAD1m6lmbm3TEOCbxBPkgNELHNR,marketing and advertising,linkedin.com/company/netfly-digital-marketing,los angeles,netfly - law firm acceleration,california,1-10,netflydigital.com
peru,2018,yHWGnxLD1C4rJ1NfhsQdOQPf9P3a,law practice,linkedin.com/company/gideproc-pucp,pueblo libre,gideproc - pucp,lima,11-50,
france,2015,c5pdTEfjMLR147vU2EIM2QZ3F8Jr,law practice,linkedin.com/company/la-tour-international,paris,la tour international,île-de-france,11-50,latourinternational.com
philippines,2020,qD4APLKUsxyKvlasiPke0w1Pf5wV,legal services,linkedin.com/company/orbital-global,bonifacio global city,orbital.global,metro manila,11-50,orbital.global
united states,,18palwAMeRCSeaM514jr7wo05O7w,legal services,linkedin.com/company/askinas-&-miller-atty,bay shore,askinas & miller atty,new york,1-10,newyorkmedmal.com
nigeria,,LtOrhiBlmnJkoBCVQzJPJwWM5nt4,education management,linkedin.com/company/ifelaw-moot-mock-committee,ile-ife,ifelaw moot & mock committee,osun,51-200,
philippines,,3OI3JYCldCuJe6OBlxFKWQIlx48K,,linkedin.com/company/villaflor-law-firm,,villaflor law firm,,1-10,villaflorlaw.com
united states,,P2Ts58oVaS0nN4JEKGYUvgIzBYiy,legal services,linkedin.com/company/esquire-d,los angeles,esquire'd,california,1-10,getesquired.com
united states,2014,ozlVLUqYXNM92RFFCKuLCQy9KQY1,law practice,linkedin.com/company/law-office-of-cathy-higgins-mora,wheeling,law office of cathy higgins-mora,illinois,1-10,higginsmoralaw.com
india,1991,GBc59Erl8qHtjL7w7UD7PQygy0sj,legal services,linkedin.com/company/rpacs,santacruz,rpacs,maharashtra,1-10,rpacs.in
united states,,hbGEgnB8fuLQyIkAxvo2XwEbDqkD,law practice,linkedin.com/company/canon-law-books-inc.,philadelphia,"canon law books, inc.",pennsylvania,1-10,canonlawbooks.com
new zealand,,M3c3X6GM0n8G3rts3Kg8Zw293hKr,legal services,linkedin.com/company/ironsidemcdonald,,ironside mcdonald intellectual property,auckland,1-10,ironsidemcdonald.com
france,,X9rD5VT6MIIhTZFEhX7rKgHwQbzr,legal services,linkedin.com/company/lehoux-&-condamine,caen,lehoux & condamine,normandie,1-10,
philippines,2021,DC5V5w9vC5hx9g9OB4RAFwAjOmkM,law practice,linkedin.com/company/tugadi-law-office,cainta,tugadi law office,calabarzon,1-10,tugadilaw.com
finland,,AZvMPqQokT1PP7IZ4IIzMQTWmdlk,law practice,linkedin.com/company/lakiasiaintoimisto-lex-moor,vantaa,lakiasiaintoimisto lex moor,uusimaa,1-10,lexmoor.fi
united states,,x9yRVFpLFhX8fxeDREPoHwrmr9Jn,legal services,linkedin.com/company/roberts-mlotkowski-safran-cole-&-calderon-p.c,mc lean,"roberts mlotkowski safran cole & calderon, p.c",virginia,11-50,
united states,,W7a6v27kLIzDEu7CUWqyRw3KBywT,legal services,linkedin.com/company/terry-smith-inc,tomahawk,terry smith inc,wisconsin,1-10,
,,GPdxrIUSZgwAolZwI6r6Owbw2kNs,law practice,linkedin.com/company/krs-law-partners,,krs law partners,,1-10,krslawpartners.blogspot.in
france,,SuWRSrAk6xlSOq8CNLSf0gRekNZj,legal services,linkedin.com/company/maison-notre-dame-du-sacre-coeur,paris,maison notre dame du sacre coeur,île-de-france,11-50,clair-logis.org
oman,2019,L2wI3V3mMn5rHoGmkXki8wqnrBQQ,veterinary,linkedin.com/company/pawsandclawsomn,muscat,paws&claws,masqaţ,1-10,instagram.com/pawsandclaws.om
argentina,,mwcSCbKGGRPg8gd1VdApTQIUqBGx,law practice,linkedin.com/company/estudio-jurídico-duluc-asociados,rosario,estudio jurídico duluc & asociados,santa fe,1-10,dulucyasoc.wixsite.com/dulucyasociados
malaysia,2017,GIyj5GqgCoBp6v3XBgUqPQMyP332,legal services,linkedin.com/company/faco-law-firm,petaling jaya,faco (farhan ahmad & co),selangor,1-10,faco.pk
ukraine,2011,MIsdvDJTrr3QmCBsPe24OQ1o7scd,legal services,linkedin.com/company/center-of-european-law,kyiv,center of european law,mykolaiv,1-10,echr-consult.ru
,,DqraznVjstiuSyLYSH1GKABYP7ti,legal services,linkedin.com/company/marie-bertin-notaire,,marie bertin notaire,,1-10,marie-bertin.notaires.fr
,,DFYtRCDYboQYrR2sWU7s3wrTgHiV,law practice,linkedin.com/company/august-law,,august law,,1-10,
united states,,uG3SEA8eKN3WB7W80xgjBAS57nvc,primary/secondary education,linkedin.com/company/lawrence-public-schools,lawrence,lawrence public schools,massachusetts,1001-5000,lawrence.k12.ma.us
united kingdom,1975,1bDGwiqnEpndCnXz1pG6jwiOaA7B,law practice,linkedin.com/company/spencers-solicitors,chesterfield,spencers solicitors,england,11-50,spencerssolicitors.com
united states,,QpUVozQLDMvaAEqE1cIwjAJlnfLz,individual & family services,linkedin.com/company/dorothy-l.-mott-law-office-llc,harrisburg,"dorothy l. mott law office, llc",pennsylvania,1-10,dorothylmottlaw.com
brazil,2020,0dAR0zcu6CgBqoWNs7Q0RwsrLoG9,law practice,linkedin.com/company/dpb-advogados,união da vitória,dpb advogados associados,paraná,1-10,
united states,,3MmvDhsCHR5Cn1HOcMa7bgIUwUxx,restaurants,linkedin.com/company/blawenburg-bistro,skillman,blawenburg bistro,new jersey,1-10,blawenburgbistro.com
united states,,HrqJN95aEonxEilVHRZkYwgas1yU,legal services,linkedin.com/company/lehnhardt-price,monroe,lehnhardt price family law,north carolina,1-10,monroefamilylaw.com
united states,,pHxtGBGzT8QnFt5IcxoB1gvDV1IW,,linkedin.com/company/action-advocacy-law-firm,groton,action advocacy law firm,connecticut,1-10,
united states,,bACI7MZzN1npguNvSeygiwKnM0NZ,,linkedin.com/company/delaware-state-police-homicide-confernce-incorporated,dover,delaware state police homicide confernce incorporated,delaware,1-10,
germany,,ZbK5Q3TOHrhn7wvV0ZxucADTHj15,law practice,linkedin.com/company/rechtsanwälte-göpfert,cottbus,rechtsanwälte göpfert,brandenburg,1-10,ra-goepfert.com
india,,B1o4mXpe1vBy79zxUB84iQ1JS3Dy,legal services,linkedin.com/company/legaleye-partners,,legal eye partners,uttar pradesh,1-10,
israel,,TqTReFaFlsj1unNP59oFFg8aAaDl,writing and editing,linkedin.com/company/subtext-ori-gidor-medical-and-legal-content,,subtext - medical & legal content writing services | advertising regulatory compliance,tel aviv,1-10,subtextmilim.co.il
united states,1985,BBYkiDLBUWf7XCI4gwLpbgwlC7EB,law practice,linkedin.com/company/law-office-of-michael-d.-armstrong-llc,albuquerque,"armstrong johnson law, llc",new mexico,1-10,michaelarmstronglaw.com
france,,NbUbn2ovgvwqNIFQKCLhoQBjUHmM,legal services,linkedin.com/company/causse-noton-cecile,varennes-vauzelles,causse noton cecile,bourgogne-franche-comté,1-10,
united states,2021,Xlyu8V7x24RgBI31qNfURwOvTrhE,law practice,linkedin.com/company/law-office-of-courtney-warren-pllc,houston,law office of courtney warren pllc,texas,1-10,cwarrenlaw.com
united states,,DmuZY6f9fsA0grdG7Ua3TgV1UO4i,law practice,linkedin.com/company/the-ellis-law-firm,englewood,the ellis law firm,colorado,1-10,ellislawcolorado.com
united kingdom,2021,9aEDCRhba5AbvP7cBf2qjwYziIq0,law practice,linkedin.com/company/mezzle-law,city of london,mezzle.,england,1-10,mezzlelaw.com
,,AACUpjN4QO6lZEb5WnRqWQxG9Z7N,legal services,linkedin.com/company/yourlovablelawyer,,your lovable lawyer,,1-10,yourlovablelawyer.com
,,A5QhoKURM9VNw7KG1XLEYQC1xxW9,law practice,linkedin.com/company/miller-etzler-&-maloney-p.l.,,"miller, etzler & maloney, p.l.",,1-10,
germany,,vn0LmCuqnzduWzleLHp6JQcPmLQ5,legal services,linkedin.com/company/gleimpetri-patent-rechtsanwaltskanzlei,würzburg,gleimpetri patent rechtsanwaltskanzlei,bavaria,1-10,gpip.de
united states,,n7OqDjbaDkO9yC51Hgn2oQW2Kjhs,marketing and advertising,linkedin.com/company/new-jersey-institute-for-continuing-legal-education,,new jersey institute for continuing legal education,,11-50,njicle.com
,,5HQWYvrEvrnvAxYwqPoX0QMKr7Rd,legal services,linkedin.com/company/recalde-friedman-pllc,,"recalde & friedman, pllc",,1-10,
portugal,,okOziTCy611i6fSNF9WG5g00j5io,legal services,linkedin.com/company/getsortgroup,,getsortd,lisboa,1-10,getsortd.pt
brazil,,rzaZEYe6GfjrvmqdpRvGRwTllo4m,legal services,linkedin.com/company/conforplan,toledo,conforplan,paraná,1-10,conforplan.com.br
poland,,ZGCroSqiP0X8qyWKOmQcQQR8EQo3,legal services,linkedin.com/company/kancelaria-radcow-prawnych-wloch-klis,bielsko-biała,kancelaria radców prawnych włoch&kliś,silesian,1-10,wlochklis.pl
united states,2015,7MaJCxeRsDCJGHUQCuvkrwCWlBXq,mental health care,linkedin.com/company/laura-lamb-counseling-pllc,mountlake terrace,"laura lamb counseling, pllc",washington,1-10,lauralambcounseling.com
,,KPlUXrVdQ3obnMbBcGkplwuvtZPU,,linkedin.com/company/lawsmith-the-law-offices-of-j-scott-smith-pllc,,"lawsmith, the law offices of j. scott smith, pllc",,1-10,
brazil,,hfgmWL1VkKcg8hhCqAzqhgdKS0bg,law practice,linkedin.com/company/dramariahelena,bauru,dra. maria helena ferreira machado - advocacia e consultoria jurídica,são paulo,1-10,dramariahelenaferreiramachado.godaddysites.com
united states,2006,fHTAFKxFx77NrsbRiHBWYgX4Oa7S,law practice,linkedin.com/company/zabelfreeman,houston,zabel freeman,texas,11-50,zabelfreeman.com
united states,,s5eMemZ3G5BLGcJOVhrglQXzCKll,legal services,linkedin.com/company/chavin-mitchell-shmuely-p-a,north miami,"cms law group | chavin mitchell shmuely, p.a.",florida,11-50,cmslawgroup.com
united states,2016,MoB9YL7oMesZgWdqu2un6QTQMz18,law practice,linkedin.com/company/kramar-madnick-llp.,encino,kramar madnick llp.,california,1-10,kramarmadnick.com
australia,,I6SrxG1j8DBoNum1GdyfsQiTl59B,law practice,linkedin.com/company/mdh-legal,osborne park,mdh legal,western australia,1-10,
spain,2013,P76OmwP7WBZ42paRmaPYdgTTNpfM,food & beverages,linkedin.com/company/tradicionpesquera,sevilla,"tradicion pesquera, s.l.",andalusia,1-10,tradicionpesquera.com
